Page,Brand,Product Name,Rating,Total Reviews
1,Sangria,Embroidered Empire Dress,4.1,108
1,PUELLA,Denim Shirt Dress,4.6,376
1,CRENOL THREADS,Puff Sleeves Fit & Flare Dress,4.2,260
1,KEESOR,Print A-Line Dress,4.4,188
1,INCLUD,Dress,0,0
1,STREET 9,Tiered Fit & Flare Maxi Dress,4.5,990
1,DEKLOOK,Print Fit & Flare Dress,3.8,5
1,StyleCast x Revolte,Strapless Sheath Dress,4,819
1,anayna,Printed Halter Neck Dress,4.6,1.8k
1,glitchez,Shirt Midi Dress,3.9,145
1,INCLUD,Dress,0,0
1,STREET 9,Floral Print A-Line Midi Dress,4.4,719
1,StyleCast x Revolte,Shoulder Straps Maxi Dress,4,1.3k
1,MANOJAVA,Tiered Fit & Flare Maxi Dress,4.2,979
1,CURVY STREET,Printed Fit & Flare Midi Dress,4,141
1,White World,Girls Printed Ethnic Dresses,4.2,146
1,INCLUD,Satin Dress,0,0
1,CURVY STREET,Floral Fit & Flare Dress,4.2,248
1,Claura,Women Fit & Flare Midi Dress,4.3,10.7k
1,StyleCast,Off-Shoulder Maxi Dress,3.9,988
1,STREET 9,Floral Print Crepe Maxi Dress,4.2,99
1,NWH,Ethnic Motifs Print Maxi Dress,4,552
1,INCLUD,Puff Sleeve Dress,0,0
1,CURVY STREET,Plus Size Fit & Flare Dress,4.1,247
1,StyleCast,Bodycon Maxi Dress,4.1,529
1,DHARMIKAAY TRENDZ,Fit & Flare Dress,4.3,277
1,STREET 9,Cotton Fit & Flare Maxi Dress,4.5,993
1,Miss & Chief,Girls Fit & Flare Dress,4.3,413
1,INCLUD,Satin Dress,0,0
1,STREET 9,Sheath Midi Dress,4.1,189
1,Stylum,Fit & Flare Maxi Puff Sleeve Dress,4.1,124
1,Roadster,FloralEmbroidered A-Line Dress,3.7,126
1,CURVY STREET,Plus Size Tiered A-Line Dress,4.1,246
1,aayu,Women Maxi Dress,4.4,2.2k
1,INCLUD,Satin Dress,0,0
